"Country Name","Country Code","Control of Corruption: Estimate","Current health expenditure per capita, PPP (current international $)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"Afghanistan","AFG",-1.15493178367615,321.499080608947,3.98425006866455,1992.42439419795,62.879,58.3308722306744
"Africa Eastern and Southern","AFE",NA,216.093237686662,NA,3967.86093740163,62.888463228983,26.2482004644559
"Africa Western and Central","AFW",NA,147.946417027309,NA,4814.6114433725,57.5891064273872,50.7719620968246
"Albania","ALB",-0.332218527793884,981.879024394578,19.834644317627,17975.7983946412,76.833,15.70470712234
"Algeria","DZA",-0.589308321475983,710.995867236057,11.4359302520752,15159.324237194,77.129,24.3886086444981
"American Samoa","ASM",1.25135612487793,NA,NA,NA,NA,6.72853173807719
"Andorra","AND",1.25135612487793,4098.70463660706,25.0400009155273,64631.2963909271,NA,9.01087465277866
"Angola","AGO",-0.60992020368576,173.143692510886,0.0883481949567795,7244.89305295156,61.929,24.5988113283925
"Antigua and Barbuda","ATG",0.326792687177658,1050.43280682188,NA,28967.2556775267,79.236,19.0584631585727
"Arab World","ARB",NA,834.473390982967,NA,16028.4157837409,71.0781699371824,44.547409419695
"Argentina","ARG",-0.360883951187134,2346.18668837546,NA,27104.9799978169,76.064,14.3996238920365
"Armenia","ARM",0.0583996474742889,1698,28.2912654876709,19230.1899296884,73.372,32.6618235324139
"Aruba","ABW",0.709075331687927,NA,NA,40516.8085633136,74.992,NA
"Australia","AUS",1.78120493888855,5390.86315420617,35.764835357666,60408.9433675784,83.2,9.33099031566264
"Austria","AUT",1.1336532831192,6276,15.3599996566772,64336.037528916,81.0926829268293,11.4645937760057
"Azerbaijan","AZE",-1.19547140598297,617,17.6700000762939,21262.2979971542,73.488,22.023834941184
"Bahamas, The","BHS",1.26691007614136,2133.82742484082,NA,33105.603858971,74.358,18.5659528939643
"Bahrain","BHR",0.177784815430641,2053.97756515122,29.5799999237061,57213.0913557711,79.246,59.9655174851019
"Bangladesh","BGD",-1.12086641788483,128.638188479391,7.57236766815186,8242.39798977242,73.698,50.3645265388691
"Barbados","BRB",1.34458589553833,1025.89028065974,NA,19224.4621182944,77.706,23.3255430894091
"Belarus","BLR",-0.665028035640717,1147,28.2999992370605,27718.3231175409,73.1114634146342,15.6177925850738
"Belgium","BEL",1.3368444442749,6041.60189145965,39.385196685791,62876.2387717275,81.6975609756098,11.2143791835506
"Belize","BLZ",-0.226113811135292,452.95365251189,6.68530750274658,12455.2960650024,70.962,26.1465334719171
"Benin","BEN",-0.0495794489979744,82.5422058683074,4.79155015945435,3721.2245272339,59.954,46.5625275293874
"Bermuda","BMU",1.25135612487793,NA,NA,98041.688720843,81.571,7.20679905172813
"Bhutan","BTN",1.53142273426056,429.148495076067,10.1999998092651,14061.3120213689,72.229,30.051897764158
"Bolivia","BOL",-0.838301062583923,612.248239897842,17.8769969940186,9843.97014174079,64.928,24.4849924422413
"Bosnia and Herzegovina","BIH",-0.581560015678406,1439,11.276029586792,19829.2822572462,75.293,26.7157922521039
"Botswana","BWA",0.685792088508606,964.575894816817,9.64603805541992,18846.2504612042,65.913,19.2035484352255
"Brazil","BRA",-0.503643155097961,1471.48906453933,16.5400009155273,19018.2390697496,73.425,12.3488400923542
"British Virgin Islands","VGB",NA,NA,NA,NA,76.373,NA
"Brunei Darussalam","BRN",1.27803611755371,1404.59707336132,17.5747013092041,76828.3998314969,74.551,7.94585811311948
"Bulgaria","BGR",-0.137721657752991,1778,26.3977317810059,33111.7332099418,74.3609756097561,17.5380256575647
"Burkina Faso","BFA",-0.169615507125854,116.968663626614,2.29087615013123,2482.07225343805,59.766,50.7057233570721
"Burundi","BDI",-1.55602598190308,68.8218551230665,0.910000026226044,828.861074309521,61.977,28.7747369895123
"Cabo Verde","CPV",0.984857201576233,356.267833012232,NA,9288.4021703944,74.722,39.3519135244555
"Cambodia","KHM",-1.29921674728394,318.697804245483,0.114589996635914,6690.58942585792,69.896,22.9738017157091
"Cameroon","CMR",-1.16255974769592,142.961195594625,6.42238998413086,4870.57076514365,60.958,40.7355761870464
